Wind Farm Phase Count by Region,,,,,,,,,,
"Global Wind Power Tracker, December 2023",,,,,,,,,,
Tracker includes wind farm phases 10 MW and greater.,,,,,,,,,,
Regions in bold were updated for the December 2023 release. All others were last updated May 2023.,,,,,,,,,,
The Global Wind Power Tracker uses UN's definition of global regions.,,,,,,,,,,
Global Energy Monitor,,,,,,,,,,
Region,Subregion,Operating,Construction,Pre-construction,Announced,"Prospective (Sum of Construction, Pre-construction, Announced)",Shelved,Mothballed,Retired,Cancelled
Africa,Northern Africa,39,13,31,12,56,9,0,0,6
,Sub-Saharan Africa,61,14,53,30,97,22,0,1,27
Americas,Latin America and the Caribbean,"1,184",203,635,89,927,27,5,0,151
,Northern America,"1,343",59,200,90,349,34,0,145,243
Asia,Central Asia,16,3,4,10,17,2,0,0,22
,Eastern Asia,"4,740",733,"1,613",421,"2,767",89,1,21,168
,South-eastern Asia,155,19,233,96,348,80,0,0,37
,Southern Asia,708,23,66,15,104,30,0,0,22
,Western Asia,347,22,58,14,94,24,0,0,39
Europe,Eastern Europe,380,24,46,38,108,26,18,1,90
,Northern Europe,"1,142",106,520,183,809,56,1,14,760
,Southern Europe,"1,698",135,"1,270",216,"1,621",29,0,18,273
,Western Europe,"3,476",91,303,444,838,47,1,82,61
Oceania,Australia and New Zealand,124,15,112,76,203,17,0,0,68
,Melanesia,2,0,0,0,0,1,0,0,0
,Micronesia,0,0,0,0,0,0,0,0,1
,Polynesia,0,0,0,0,0,1,0,0,0
