Wind Farm Capacity by Country (MW),,,,,,,,,,
"Global Wind Power Tracker, December 2023",,,,,,,,,,
Tracker includes wind farm phases 10 MW and greater.,,,,,,,,,,
Countries in bold were updated for the December 2023 release. All others were last updated May 2023.,,,,,,,,,,
Global Energy Monitor,,,,,,,,,,
Region,Country,Operating,Construction,Pre-construction,Announced,"Prospective (Sum of Construction, Pre-construction, Announced)",Shelved,Mothballed,Retired,Cancelled
Africa,Algeria,10,0,0,0,0,0,0,0,70
Africa,Angola,0,0,702,0,702,0,0,0,80
Africa,Cabo Verde,0,0,0,13,13,0,0,0,0
Africa,Cameroon,100,0,0,40,40,0,0,0,0
Africa,Chad,0,0,0,100,100,0,0,0,0
Africa,Djibouti,0,59,0,"5,000","5,059",0,0,0,0
Africa,Egypt,"1,641","2,512","35,563","10,000","48,075",0,0,0,0
Africa,Ethiopia,564,100,100,886,"1,086",850,0,0,342
Africa,Ghana,0,0,"1,165",200,"1,365",0,0,0,223
Africa,Kenya,533,300,190,60,550,160,0,0,"1,201"
Africa,Libya,0,0,0,0,0,60,0,0,26
Africa,Madagascar,0,12,0,240,252,0,0,0,0
Africa,Malawi,0,0,50,150,200,0,0,0,0
Africa,Mali,0,0,151,0,151,0,0,0,0
Africa,Mauritania,130,0,0,"28,100","28,100",0,0,0,0
Africa,Mauritius,0,0,0,0,0,22,0,0,30
Africa,Morocco,"1,291",698,"7,773","17,500","25,971",0,0,0,0
Africa,Mozambique,0,60,60,30,150,60,0,0,0
Africa,Namibia,0,50,"2,758",46,"2,854",0,0,0,90
Africa,Niger,0,0,0,250,250,0,0,0,0
Africa,Nigeria,10,0,0,0,0,0,0,0,30
Africa,Réunion,0,18,0,12,30,0,0,10,0
Africa,Senegal,208,0,100,0,100,0,0,0,50
Africa,South Africa,"3,742",733,"1,741",215,"2,689",500,0,0,0
Africa,Sudan,0,0,200,0,200,84,0,0,20
Africa,Tanzania,0,0,300,0,300,750,0,0,100
Africa,Togo,0,0,0,0,0,0,0,0,24
Africa,Tunisia,253,30,75,525,630,90,0,0,90
Africa,Uganda,0,20,0,120,140,10,0,0,20
Africa,Western Sahara,553,380,"1,140",0,"1,520",0,0,0,0
Africa,Zambia,0,0,200,600,800,400,0,0,0
Africa,Zimbabwe,0,0,0,100,100,0,0,0,0
Americas,Argentina,"3,738",921,"1,158",248,"2,327",75,0,0,"2,647"
Americas,Aruba,30,0,0,0,0,0,0,0,24
Americas,Barbados,0,30,0,0,30,0,0,0,0
Americas,Bermuda,0,0,60,0,60,0,0,0,0
Americas,Bolivia,132,0,45,0,45,0,0,0,0
Americas,"Bonaire, Sint Eustatius and Saba",11,0,0,0,0,0,0,0,0
Americas,Brazil,"26,401","6,844","88,328","85,282","180,455","2,548",0,0,"2,941"
Americas,Canada,"15,267","1,522","8,320","1,250","11,092",826,0,168,"16,124"
Americas,Chile,"4,540","1,993","8,621","12,139","22,753",0,0,0,"1,198"
Americas,Colombia,"1,182","1,343","6,144","4,785","12,272",237,20,0,850
Americas,Costa Rica,399,0,0,0,0,0,0,0,0
Americas,Cuba,0,151,237,51,439,656,0,0,160
Americas,Curaçao,47,0,0,0,0,0,0,0,0
Americas,Dominican Republic,453,98,446,0,544,50,0,0,150
Americas,Ecuador,66,110,88,714,912,0,0,0,0
Americas,El Salvador,54,0,0,0,0,0,0,0,0
Americas,Greenland,0,0,"1,500",0,"1,500",0,0,0,0
Americas,Grenada,0,0,15,0,15,0,0,0,0
Americas,Guadeloupe,41,0,0,0,0,0,0,0,0
