"Global Wind Power Tracker, December 2023",,,,,,,,,,
Tracker includes wind farm phases 10 MW and greater.,,,,,,,,,,
Countries in bold were updated for the December 2023 release. All others were last updated May 2023.,,,,,,,,,,
Global Energy Monitor,,,,,,,,,,
Region,Country,Operating,Construction,Pre-construction,Announced,"Prospective (Sum of Construction, Pre-construction, Announced)",Shelved,Mothballed,Retired,Cancelled
Africa,Algeria,1,0,0,0,0,0,0,0,2
Africa,Angola,0,0,13,0,13,0,0,0,2
Africa,Cabo Verde,0,0,0,1,1,0,0,0,0
Africa,Cameroon,1,0,0,1,1,0,0,0,0
Africa,Chad,0,0,0,1,1,0,0,0,0
Africa,Djibouti,0,1,0,1,2,0,0,0,0
Africa,Egypt,13,5,17,1,23,0,0,0,0
Africa,Ethiopia,7,1,1,5,7,2,0,0,4
Africa,Ghana,0,0,7,1,8,0,0,0,3
Africa,Kenya,8,1,4,1,6,3,0,0,9
Africa,Libya,0,0,0,0,0,1,0,0,1
Africa,Madagascar,0,1,0,1,2,0,0,0,0
Africa,Malawi,0,0,1,1,2,0,0,0,0
Africa,Mali,0,0,1,0,1,0,0,0,0
Africa,Mauritania,2,0,0,4,4,0,0,0,0
Africa,Mauritius,0,0,0,0,0,1,0,0,1
Africa,Morocco,16,4,7,4,15,0,0,0,0
Africa,Mozambique,0,1,1,1,3,1,0,0,0
Africa,Namibia,0,1,7,1,9,0,0,0,2
Africa,Niger,0,0,0,1,1,0,0,0,0
Africa,Nigeria,1,0,0,0,0,0,0,0,1
Africa,Réunion,0,1,0,1,2,0,0,1,0
Africa,Senegal,4,0,1,0,1,0,0,0,2
Africa,South Africa,38,6,14,3,23,5,0,0,0
Africa,Sudan,0,0,2,0,2,5,0,0,1
Africa,Tanzania,0,0,2,0,2,6,0,0,1
Africa,Togo,0,0,0,0,0,0,0,0,1
Africa,Tunisia,6,1,1,7,9,3,0,0,2
Africa,Uganda,0,1,0,1,2,1,0,0,1
Africa,Western Sahara,3,3,4,0,7,0,0,0,0
Africa,Zambia,0,0,1,4,5,3,0,0,0
Africa,Zimbabwe,0,0,0,1,1,0,0,0,0
Americas,Argentina,61,11,14,3,28,1,0,0,18
Americas,Aruba,1,0,0,0,0,0,0,0,1
Americas,Barbados,0,1,0,0,1,0,0,0,0
Americas,Bermuda,0,0,1,0,1,0,0,0,0
Americas,Bolivia,4,0,2,0,2,0,0,0,0
Americas,"Bonaire, Sint Eustatius and Saba",1,0,0,0,0,0,0,0,0
Americas,Brazil,879,143,486,63,692,7,0,0,65
Americas,Canada,205,14,48,7,69,5,0,3,84
Americas,Chile,52,15,29,4,48,0,0,0,16
Americas,Colombia,9,9,36,7,52,2,1,0,6
Americas,Costa Rica,16,0,0,0,0,0,0,0,0
Americas,Cuba,0,3,5,1,9,9,0,0,5
Americas,Curaçao,3,0,0,0,0,0,0,0,0
Americas,Dominican Republic,10,2,9,0,11,1,0,0,3
Americas,Ecuador,2,1,2,9,12,0,0,0,0
Americas,El Salvador,1,0,0,0,0,0,0,0,0
Americas,Greenland,0,0,1,0,1,0,0,0,0
Americas,Grenada,0,0,1,0,1,0,0,0,0
Americas,Guadeloupe,3,0,0,0,0,0,0,0,0
Americas,Guatemala,3,1,0,0,1,0,0,0,0
Americas,Guyana,0,0,2,0,2,0,0,0,0
Americas,Honduras,5,0,1,0,1,2,0,0,1
Americas,Jamaica,4,0,0,0,0,0,0,0,0
Americas,Martinique,1,1,0,0,1,0,0,0,1
Americas,Mexico,74,12,11,0,23,5,0,0,25
Americas,Nicaragua,5,0,0,0,0,0,0,0,1
Americas,Panama,6,2,10,0,12,0,0,0,2
Americas,Peru,9,2,27,1,30,0,0,0,5
Americas,Puerto Rico,1,0,0,0,0,0,1,0,1
Americas,Saint Lucia,0,0,0,0,0,0,0,0,1
Americas,United States,"1,138",45,150,83,278,29,0,142,159
Americas,Uruguay,34,0,0,1,1,0,0,0,0
Americas,Venezuela,0,0,0,0,0,0,3,0,0
Asia,Afghanistan,0,0,0,0,0,2,0,0,0
Asia,Armenia,0,0,0,0,0,0,0,0,6
Asia,Azerbaijan,1,0,2,0,2,0,0,0,5
Asia,Bangladesh,1,0,4,3,7,0,0,0,1
Asia,Bhutan,0,0,0,0,0,0,0,0,1
Asia,Cambodia,0,0,0,0,0,3,0,0,0
Asia,China,"4,490",685,"1,400",334,"2,419",24,1,16,97
Asia,Cyprus,5,0,1,0,1,0,0,0,4
Asia,Georgia,1,0,0,1,1,8,0,0,0
Asia,Hong Kong,0,0,0,2,2,0,0,0,2
Asia,India,649,18,62,4,84,10,0,0,6
Asia,Indonesia,3,0,7,31,38,0,0,0,4
Asia,Iran,11,2,0,0,2,12,0,0,2
Asia,Iraq,0,0,0,1,1,0,0,0,0
Asia,Israel,4,1,2,1,4,1,0,0,4
Asia,Japan,164,24,44,35,103,36,0,5,21
Asia,Jordan,9,0,0,0,0,0,0,0,1
Asia,Kazakhstan,16,1,1,7,9,1,0,0,18
Asia,Kuwait,1,0,2,0,2,0,0,0,0
Asia,Kyrgyzstan,0,0,1,0,1,0,0,0,0
Asia,Laos,0,2,3,1,6,0,0,0,0
Asia,Lebanon,0,0,3,0,3,0,0,0,0
Asia,Macao,2,0,0,0,0,0,0,0,0
Asia,Maldives,0,0,0,0,0,0,0,0,2
Asia,Mongolia,3,0,2,2,4,2,0,0,0
Asia,Myanmar,0,0,0,12,12,4,0,0,1
